id,material_id,energy,energy_per_atom,formation_energy_per_atom,elasticity.K_VRH,name
0,mp-10003,-110.1100232,-9.175835266,-0.353013831,191,0
1,mp-1001023,-39.30743469,-6.551239115,0.84641172,83,1
2,mp-1001788,-48.77006521,-6.967152173,-0.020860104,179,2
3,mp-1002122,-20.60674136,-10.30337068,-0.905563085,202,3
4,mp-1002206,-13.57591437,-6.787957185,0.537123053,241,4
5,mp-1002227,-4.46510535,-2.232552675,0.322214154,6,5
6,mp-1006878,-17.03543031,-5.67847677,-2.050996181,28,6
7,mp-1006886,-13.27707703,-6.638538515,-1.935499004,14,7
8,mp-1007918,-19.29574318,-4.823935795,-0.883601605,87,8
9,mp-1008559,-25.77013569,-6.442533923,-0.396195671,170,9
10,mp-1008617,-8.22204147,-2.74068049,-0.339129361,54,10
11,mp-1008820,-16.87915077,-5.62638359,1.400760182,219,11
12,mp-1008835,-27.88123268,-9.293744227,0.59988047,359,12
13,mp-1008901,-8.58279778,-2.860932593,-0.168809514,60,13
14,mp-1009496,-18.2191382,-9.1095691,0.480334219,271,14
15,mp-1009733,-10.76910646,-3.589702153,-0.448930112,35,15
16,mp-1009837,-18.28806143,-9.144030715,0.64966415,308,16
17,mp-1010136,-4.06282788,-4.06282788,0.03637879,155,17
18,mp-10128,-36.44560446,-6.07426741,-0.52464024,84,18
19,mp-1013533,-22.33105882,-4.466211764,-0.641677656,39,19
20,mp-1013736,-16.11380011,-3.222760022,-0.516810972,18,20
21,mp-10139,-32.72898362,-6.545796724,-0.611978137,83,21
22,mp-1017515,-30.41289555,-7.603223888,-0.066339439,242,22
23,mp-1018022,-24.58593857,-6.146484643,-1.196742517,52,23
24,mp-1018054,-32.50914673,-8.127286683,-1.084809708,231,24
25,mp-1018071,-31.16514644,-7.79128661,-0.111833565,217,25
26,mp-1018685,-28.59328113,-4.765546855,-0.545904705,70,26
27,mp-1018764,-23.41547751,-3.902579585,-0.808050152,42,27
28,mp-1018810,-15.32937519,-2.554895865,-1.262130203,12,28
29,mp-1019138,-30.93354014,-5.155590023,-1.158929026,58,29
30,mp-10212,-34.59039532,-5.765065887,-0.575901765,81,30
31,mp-1023127,-191.8618693,-5.642996157,-2.001991328,93,31
32,mp-1025177,-29.44431157,-4.206330224,-2.528833746,37,32
33,mp-1025213,-41.52280614,-5.931829449,-0.429042571,234,33
34,mp-1025218,-42.08409645,-6.012013779,-0.370511099,199,34
35,mp-1025282,-41.03203987,-5.861719981,-0.342724424,50,35
36,mp-1025375,-31.94858506,-4.56408358,-0.461963287,64,36
37,mp-1025377,-15.6556017,-2.236514529,-0.42690065,20,37
38,mp-1025409,-52.76606793,-6.595758491,-1.322775438,114,38
39,mp-10270,-38.35878715,-7.67175743,-0.294918968,214,39
40,mp-10274,-20.02695222,-4.005390444,1.186036384,46,40
41,mp-1029257,-78.70323125,-6.558602604,-0.088458445,127,41
42,mp-1029262,-78.00928793,-6.500773994,-0.59099167,152,42
43,mp-1029293,-59.18756543,-7.398445679,-0.927769949,104,43
44,mp-1029368,-85.95961585,-7.163301321,-1.14104056,128,44
45,mp-1029458,-75.83969911,-6.319974926,-0.315077385,152,45
46,mp-1029730,-123.6081926,-6.86712181,-1.337685759,88,46
47,mp-1029750,-86.1802942,-6.1557353,-0.69855681,62,47
48,mp-10316,-46.2483527,-5.781044088,-1.845177722,74,48
49,mp-1039148,-3.76448487,-1.882242435,-0.084063109,16,49
50,mp-1039154,-5.609142,-2.804571,-0.062914852,48,50
51,mp-10659,-13.74722661,-4.58240887,0,42,51
52,mp-10756,-20.98281359,-6.994271197,0.232613068,68,52
53,mp-1076,-41.36371279,-5.909101827,-0.025281428,137,53
54,mp-108,-11.02001661,-11.02001661,0.2713934,133,54
55,mp-1101,-12.12934229,-6.064671145,-1.497887917,80,55
56,mp-11209,-17.7567388,-4.4391847,-0.237142755,83,56
57,mp-11279,-11.91460277,-5.957301385,-0.140068533,126,57
58,mp-11350,-54.47167863,-4.539306553,-0.378783153,85,58
59,mp-1136,-20.55739105,-2.569673881,-0.420879613,22,59
60,mp-11435,-36.19267091,-5.170381559,-0.531825821,97,60
61,mp-11453,-116.1169364,-7.257308527,-0.885647129,179,61
62,mp-11478,-5.75720311,-2.878601555,0.051707933,63,62
63,mp-11533,-35.40969908,-5.901616513,-0.413875108,167,63
64,mp-11582,-62.2835892,-3.892724325,-0.910515393,35,64
65,mp-11714,-60.24429409,-7.530536761,-0.205456524,214,65
66,mp-11733,-29.72764066,-5.945528132,-1.092126636,98,66
67,mp-11737,-108.3574489,-6.019858272,-2.681886723,80,67
68,mp-11755,-51.00667379,-5.667408199,-0.530815151,63,68
69,mp-11765,-62.99934202,-6.999926891,-1.06004799,84,69
70,mp-11973,-45.6688265,-5.074314056,-0.784180784,87,70
71,mp-12105,-13.47123686,-4.490412287,-0.962250617,21,71
72,mp-12128,-8.98942503,-2.247356258,-0.205749919,31,72
73,mp-1220,-22.48305926,-3.747176543,-0.085352233,138,73
74,mp-12277,-37.600862,-4.177873556,-0.762781005,61,74
75,mp-1246,-40.53176414,-8.106352828,0.514438768,154,75
76,mp-1264,-11.26124424,-2.81531106,-0.13334921,117,76
77,mp-12724,-13.46748581,-1.683435726,-0.208964797,24,77
78,mp-1274,-23.62038775,-5.905096938,-0.614443107,160,78
79,mp-12773,-43.58819069,-7.264698448,-0.317706085,100,79
80,mp-1278,-49.70100783,-8.283501305,-0.777237333,126,80
81,mp-1285,-34.74569719,-5.790949532,-0.936869983,204,81
82,mp-13089,-22.46291512,-3.743819187,-0.140384002,46,82
83,mp-13092,-67.67651223,-7.51961247,-0.346592777,105,83
84,mp-13302,-28.1159079,-4.68598465,-0.756942303,77,84
85,mp-13502,-31.49755635,-7.874389088,-0.36516013,175,85
86,mp-13686,-144.4324531,-9.027028317,-0.679941171,194,86
87,mp-13798,-41.62258568,-4.162258568,-2.720461106,35,87
88,mp-13829,-48.40195256,-4.033496047,-0.432620603,43,88
89,mp-13868,-36.94437875,-3.694437875,-1.52270038,35,89
90,mp-1402,-34.72723129,-5.787871882,-0.362096523,94,90
91,mp-14090,-28.78332894,-3.597916118,-0.234745481,47,91
92,mp-14112,-47.17570254,-3.931308545,-1.57177421,42,92
93,mp-1429,-39.85777077,-6.642961795,0.06691678,144,93
94,mp-1487,-10.84053015,-5.420265075,-0.65756626,162,94
95,mp-149,-10.84678131,-5.423390655,0,83,95
96,mp-1490,-71.58325653,-3.579162827,-0.210942429,127,96
97,mp-1491,-24.65921071,-8.219736903,-0.739357752,286,97
98,mp-15643,-38.0742602,-3.172855017,-0.538225417,40,98
99,mp-1570,-47.18503288,-7.864172147,-0.062615901,92,99
100,mp-15776,-25.81848257,-3.688354653,-0.645599459,37,100
101,mp-15788,-24.04593188,-6.01148297,-2.181238659,53,101
102,mp-1620,-24.84675693,-8.28225231,-0.34728305,218,102
103,mp-16366,-11.62796694,-3.87598898,0.022119293,86,103
104,mp-1646,-7.15015117,-1.787537793,-0.279938398,26,104
105,mp-1671,-13.44898076,-4.482993587,-0.354201392,57,105
106,mp-16731,-14.00106995,-7.000534975,-1.060854716,121,106
107,mp-17045,-148.0313883,-9.251961766,-0.931449003,194,107
108,mp-1734,-9.67189641,-1.611982735,-0.229188442,61,108
109,mp-1753,-14.86459454,-7.43229727,-1.396114115,102,109
110,mp-1774,-19.79283819,-6.59761273,-0.622210702,171,110
111,mp-1782,-13.00615437,-6.503077185,-1.588886894,81,111
112,mp-1798,-10.79232738,-2.698081845,-0.017137619,38,112
113,mp-18093,-201.1897792,-8.382907468,-0.173769651,226,113
114,mp-1822,-57.57206343,-7.196507929,-0.919727479,119,114
115,mp-1842,-23.05235153,-5.763087883,-0.42857975,127,115
116,mp-18775,-75.84879434,-6.89534494,-2.13699628,136,116
117,mp-18782,-48.68745085,-6.085931356,-2.050435452,127,117
118,mp-18895,-40.36928015,-5.046160019,-1.456607851,68,118
119,mp-18946,-80.95875437,-8.095875437,-2.732526793,182,119
120,mp-19080,-156.4759912,-6.519832968,-1.939120385,77,120
121,mp-19318,-78.26147663,-5.590105474,-1.309769027,68,121
122,mp-1934,-7.21203075,-1.803007688,-0.218815958,42,122
123,mp-19340,-55.57975023,-6.947468779,-2.497316289,120,123
124,mp-19735,-51.80951718,-7.401359597,-2.979376346,144,124
125,mp-19765,-20.43933166,-2.919904523,-0.294161637,20,125
126,mp-19893,-139.0812977,-6.954064885,-1.81879373,56,126
127,mp-20055,-17.51371244,-8.75685622,-0.218466587,67,127
128,mp-20083,-71.34141144,-5.94511762,-0.660095477,111,128
129,mp-20119,-29.98371167,-4.997285278,-0.143205729,164,129
130,mp-20144,-108.8730655,-9.072755458,-0.683542668,212,130
131,mp-20207,-65.51836618,-7.279818464,-0.226910434,136,131
132,mp-20278,-81.51139613,-8.151139613,0.552730108,197,132
133,mp-20695,-29.36324948,-7.34081237,-0.242115965,97,133
134,mp-20754,-35.74954533,-4.468693166,-0.512042674,49,134
135,mp-2079,-40.72769449,-4.072769449,-0.432584303,17,135
136,mp-20796,-28.88335365,-5.77667073,0.261564606,150,136
137,mp-20959,-54.09362808,-5.409362808,-0.638785748,67,137
138,mp-21200,-21.57132278,-7.190440927,-0.400350357,14,138
139,mp-21211,-25.17969291,-6.294923228,0.064480863,232,139
140,mp-21260,-36.36159592,-6.060265987,0.170530023,100,140
141,mp-21294,-33.6901603,-5.615026717,-0.387082369,53,141
142,mp-21297,-57.51864963,-4.793220803,-0.267805489,68,142
143,mp-2152,-37.27941091,-6.213235152,-0.319037876,148,143
144,mp-2168,-16.68267579,-4.170668948,-0.426565719,28,144
145,mp-217,-7.52781506,-3.76390753,-0.29936867,52,145
146,mp-2172,-9.3732972,-4.6866486,-0.484606655,70,146
147,mp-21844,-17.52971736,-4.38242934,0.211662853,47,147
148,mp-22220,-168.7298078,-8.436490388,-3.997699581,146,148
149,mp-22227,-99.8147663,-8.317897192,-0.606964607,146,149
150,mp-2229,-8.80707252,-4.40353626,-1.650973223,172,150
151,mp-22344,-115.9848354,-5.799241768,-0.222318549,110,151
152,mp-22435,-35.20589156,-7.041178312,-0.876137727,172,152
153,mp-22687,-14.69013549,-2.938027098,-0.352885948,33,153
154,mp-22792,-18.11446276,-6.038154253,-0.210989473,84,154
155,mp-22793,-39.1852815,-7.8370563,-0.161008946,230,155
156,mp-22801,-82.30318876,-6.858599063,-1.097648818,140,156
157,mp-22880,-11.86531804,-3.955106013,-0.04072264,10,157
158,mp-22894,-9.83269133,-2.458172833,-0.279903772,25,158
159,mp-22980,-27.23237826,-3.890339751,-1.612972979,25,159
160,mp-23050,-60.01309797,-10.002183,-3.4769701,63,160
161,mp-23137,-67.8814637,-6.78814637,-2.821703819,115,161
162,mp-23154,-6.54770616,-1.63692654,0,4,162
163,mp-23171,-10.57500598,-5.28750299,-0.953845228,48,163
164,mp-23208,-47.1776324,-5.89720405,-2.133963315,25,164
165,mp-23302,-5.41775485,-2.708877425,-1.456605856,31,165
166,mp-23431,-34.78113509,-2.898427924,-0.62078744,10,166
167,mp-23513,-30.20338995,-3.355932217,-1.598730943,12,167
168,mp-23514,-43.02101609,-3.585084674,-0.623946237,7,168
169,mp-2354,-48.80119876,-6.100149845,-0.10295296,119,169
170,mp-2367,-23.87406737,-7.958022457,-0.161506875,92,170
171,mp-23818,-16.53538756,-3.307077512,-0.597656779,38,171
172,mp-24147,-12.58249285,-4.194164283,-0.66061484,55,172
173,mp-24150,-47.19666671,-6.742380959,-2.824960624,127,173
174,mp-24291,-15.62840339,-5.209467797,-0.578357272,89,174
175,mp-24417,-26.54285802,-6.635714505,0.406971396,219,175
176,mp-24719,-9.24341394,-4.62170697,-0.111927739,199,176
177,mp-24721,-4.66761821,-2.333809105,-0.223673738,17,177
178,mp-24726,-16.13102314,-5.377007713,-0.585498992,138,178
179,mp-2483,-45.01333995,-7.502223325,0.141176602,116,179
180,mp-2486,-30.08207453,-10.02735818,-0.11237496,155,180
181,mp-2491,-11.4380286,-5.7190143,-1.687346161,82,181
182,mp-2501,-58.64037758,-9.773396263,-0.316509289,293,182
